ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='0', role='assistant', function_call=None, tool_calls=None)
ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None)
